review_id,review,rating_score,date
10,"I don't really get the negative reviews. I've been here several times and the place always amazes. They used to have turtle soup (probably the best cup of soup I've ever had), but sadly it's no longer on the menu. The etouffee is fantastic, and the blackened alligator is pure alligator -- meaning you get to savor the taste of its meat. Everyone I've come here with has always enjoyed their meal. This is a must-go-to whenever I'm in Nola.",4,2015-05-13
11,"I finally decided to write a review after watching the episode of Kitchen Nightmares featuring the restaurant. 

I have been here on three separate occasions, usually when I visit NOLA for Mardi Gras - the first time was Mardi Gras 2010, then 2011, and last summer in 2013. From my first time to my last time, the restaurant's decor is still the same: tacky-ish, wonky colored carnivale-esque clutter. Each time I've eaten there, it's always been in the front room by the bar (I can point out each seat I was in) so my best friend and I, who's eaten there with me on two of those occasions, question where the white walls went that Kitchen Nightmares supposedly renovated. Basically, the decor didn't stick. It may be a nightmare to look at (the decor), but it's part of the restaurant so it wasn't a loss in my opinion. Plus, some online articles I found stated that the show actually didn't do much to renovate to begin with (it is a reality show, after all - Oceana's particular episode didn't really break down the changes and glossed over it so if they did put much effort into it, they sure weren't showing it off like in other episodes with a Before/After segment).

The food has always been good to me each visit, but I am a) not an expert on food prep of any kind and b) a tourist. I'm sure this would discount my opinion to some, but it is still an opinion of a visitor that makes a point to go each time. On two occasions, I had ordered the char-grilled oysters (which I know is available everywhere and I'm sure there are better places too) and the blackened catfish. I have never had a complaint for either dish and I finish the order every time. On my last visit, I went with two self-confessed foodies and they loved it as well. Their portions are generous and their desserts are insanely large though I'm fairly positive those aren't made in-house.

I have deducted a star because though Kitchen Nightmares is a reality TV show, I don't doubt that there is a pest problem, which really does cause me concern. One of my biggest fears are cockroaches and the streets of NOLA sure have their fair share that I've seen first-hand, so if that portion of the segment holds ANY truth, then I would certainly hope they at least cleaned up their act because if I do catch sight of something on a trip, they will lose a loyal customer and future recommendations. The owners made for great comedy and I sure hope Rami was able to get his brother Moe to see the light in really fixing things up. 

Hmm, seems I started to review the show and not the restaurant.

In any case, we would return on our trips as long as the pest problem is taken care of. Creepy enough, my second trip was within months of the show's airing so it's likely I would have eaten ex-Executive Chef Damon's style, which is terrifying to think about. I'm going to find my happy place now....

Give them a shot! If you see the owners (I have yet to), talk to the nicer one just in to be safe.",4,2014-01-17
12,"This place was recommended by the lady at our hotel front counter for the ""best sea food in town"". We ordered the oysters Rockefeller with crab and boiled shrimp. It was some of the best seafood I've ever had. Definitely would recommend this place to anyone looking for amazing seafood. Our waitress Jennifer was amazing and extremely helpful with her recommendations for our meal.",5,2018-07-26
13,My husband & my go to everytime we go for our Bourbon stroll!! Love the food; it's always consistent,5,2018-09-14
14,The food was incredible. I loved their grilled oysters a and po boys. The sauce that they use in their sandwiches where the best I've ever had. If only there was a oceana in California. The service was great abs the staff was friendly only downside wad that they took to long with orders and receiving and picking up the check.,4,2016-02-12
15,This was by far the best food since I have been in New Orleans. The food was spectacular and well priced. The server Deon was amazing. She was so nice and accommodating to our party of 7. Will definitely be back and hopefully Deon will be our server!,5,2018-05-28
16,"My husband asked the kid checking us in at the hotel where the ""locals"" eat. He recommended this hole in the wall, Oceana. This is the best, most authentic creole food I've ever had. We shared the Taste of New Orleans sampler. Holy moly mother of God...it was amazing!!! The perfect combo so spicy and not too spicy with a little sampling of all the classics you want when in NOLA. Reasonably priced and the waitress was super sweet. We'll definitely be back!",5,2016-01-30
17,"We were only in Nola for 3 days and ate breakfast there twice!  The service Errol gave us was awesome!  Personally, the biscuits and grave were beyond my expectations!  Soo delicious!  The bloody Marys were also fabulous!",5,2015-04-15
18,"Unexpected. I was looking for a quick seafood stop and it worked out in my favor. The food was not as over priced as most of the places in the area. 
The wait staff was polite, some people dont think thats important or they take it for granted but its important. I had the taste of louisiana which is Oceana's sampler. Very good, you can see the cook making the gumbo in the kitchen, always a plus when he doesn't look like he hates his life. Atmosphere is dark, noise level was moderate. Great place, i would def recommend and I would go back again.",4,2012-08-14
19,"Top notch.  Service was incredible.  Every person from our server to the chef that brought our food was on point making sure we were good to go! 
We had the blackened catfish special & jazzy crab cakes.  Sooo much flavor.  Also,  the  greens,  THE GREENS.  just eat them.  
So pleased with everything about our dinner at Oceana.",4,2016-11-22
20,"This was my first time to New Orleans and this place was my first stop, so we went to do their brunch. Let me just say how friendly the staff was and quick to help you get seated.  They told us the specials on food and drinks, even did suggestions that would go great with our food. Our server was so friendly and even told us the best spots to go check out. 

Drinks came out fast and very tasty, food came out hot, didn't take to long but then again it wasn't as packed. I would say took no more then 10 minutes for all of us to get our meals. 

We did come back for their dinner which there was a line, this was around 5ish but again our party was only 3 in all together and only took us about 30 minutes to wait. Even though the place was full every staff member greeted us. Server was quick and always checked on our table. 
Dinner dishes are so good and I say their chicken, sausage gumbo was so mmm...yummy nothing like I've ever tasted and let me just add I tried some in Texas but not the same. 

Over all I give this place 10/10 Clean, Friendly, Fast and Outstanding Food.",5,2018-09-25
21,Loved this place!! The Taste of New Orleans is amazing!!! Two enthusiastic thumbs up!!,5,2018-03-15
22,"Won't be going back. We were excited to try Oceana based on reviews...don't believe them. This was the worst meal we had on our trip. The house oysters were over sauced, the gumbo was good, the creole jambalaya was over sauced and not tasty, the Mardi Gras pasta was over sauced and way too expensive. We spent our time digging seafood out of the dishes without much luck. The manager didn't honor our online reservation nor did he even have the courtesy to tell us himself but forced the hostess to do it. Our waitress was slow on service and never asked why my entree plate was practically still full when she picked it up. If she had, she'd have learned it was too heavy on the cream, short on the protein and a bit gummy.",1,2015-07-28
23,"Great food, great ambiance.  All the wait staff were so polite and courteous.  If your in the area,  Oceana is s must!!!",5,2017-02-19
24,"On a visit to New Orleans, a seafood dinner is a must, right? On a recommendation from a local, we stopped by Oceana for the oysters we had been craving all day. 

We started with a plate of oysters. Fresh and salty clean, the oysters hit the spot. 

My friend ordered jambalaya. She's a local and seemed happy with her dish.

My bf and I split an order of the blackened bayou duck. As per usual, he also ordered french fries on the side. (Secret: He is always ordering french fries on the side...it's almost an addiction.) Anyhow, the duck was completely satisfying. Of course, blackened anything is darned good, right? It's hard to get wrong. On the flip side, the fries were blah.

Oceana obviously gets a lot of traffic. There were lots of families and larger groups eating. The ambiance reminded me of local seafood joint meets Applebee's. Initially, our waiter was perfunctory and efficient. There was nothing to complain about: he just seemed busy. At a few wise cracks from us, he immediately relaxed and joined right in.

For us, the duck was the biggest hit. The oysters were wonderful, too, despite our preference for Pac NW oysters. 

So, 3.75 stars for food. Good, even better than good, but just not great.
4.25 stars for service. Once he warmed up, our waiter was outstanding.
3 stars for ambiance. While they can't help being packed and a family-style joint, it does take away from the dining experience just a bit.
Total: 3.66, which I'll round up to 4.

It seems that tourists and locals alike are fans of Oceana. Expect main street seafood done right.",4,2011-04-22
25,"Ok so the oysters Oceana I could do without. Worst chargrilled oysters I have had in the EZ. Shrimp Po Boy was much better, but not the best for sure. Service was prompt and good. No complaints there. All in all I say it's ok, but nothing special.",3,2018-07-17
26,"The food here is delicious. The portions are healthy-sized, well maybe a little bigger than healthy-sized. I had their blackened redfish plate. So tasty and filling. I would highly recommend it. I would consider subbing their rice for something else as I thought it was the weakest part of the plate; their greens, however, were super delicious. 

Overall, I did think the cost of the plates were a little high for what you're getting. I went to several other places with equivalent vibes and food, and this seemed a little pricier than the rest.",4,2016-11-21
27,Ordered the fried and blackened alligator. The blackened gator came out somewhat cold. Fried gator was pretty good. Pasta jambalaya was ok. Ive tasted better at coplands.,3,2014-04-19
28,"Has an amazing oyster, delicious food and great variety of drinks. Service was great.",5,2017-12-02
29,Pamela was a great server and made us feel very welcome. The St Francis Crepe was delicious!,5,2017-06-28
30,"When we asked where to get good seafood, Oceana was recommended by hotel staff. Very disappointing, fried shrimp dinner was rubbery and greasy, blackened catfish was thin and overcooked to dry.  Quality of side items was just as bad.",2,2015-06-21
31,Take a walk down Bourbon St. and take in all the smells...that's what the food tastes like. Do not eat there!,1,2013-05-07
32,The redfish Ponchair  is amazing the fried catfish meal is enough for two. The best service I have received ever.,5,2018-02-23
33,"Ordered on uber eats the crab cake and cajun fries. Food gave me a stomachache, it did not feel fresh. Only good thing was the sauce. Never again. :(",1,2018-09-14
34,"We were seated quickly and we sat outside in a cozy little courtyard. The chicken alfredo with blackened chicken was DELICIOUS! I loved this entree, perfect amount of spice. The service was quick and efficient. I really enjoyed this place and would come back!",5,2018-03-15
35,"Service was great! The restaurant was packed but our server Errol was on the ball! He checked in quickly and had everything out promptly. We started with crab cakes which were full of crab meat and delicious! The downsides were that our fries were soggy and the poboys were ""overdressed"" for our preference.",3,2014-10-11
36,My girlfriends and I are visiting New Orleans for the first time and this is our favorite restaurant so far. Hands down food and service is top notch (bloody Mary's #1). We plan on going back for breakfast tmrw!!,5,2018-05-19
37,Then y'all do come here! Oceana offers them as appetizers AND in you ask as an entrée! They are FRESH AND BIG as well as swimming in their tasty BBQ sauce. A little messy to peel but your reward will be in the TASTE! My partner had the fried crawfish tails and she said they also were mighty tasty! Crowded as it is very popular for a reason!,4,2014-10-11
38,I came for the oysters and they delivered. My server wasn't tell best but he wasn't the worst. My boyfriend thought his catfish & crawfish were alright and I thought his catfish was good. Will be back for those oysters though,4,2016-05-19
39,My friends and I went here on our first night in Nola and I was fantastic. We tried a couple different apps before the main course and they were all fantastic. We had the oysters raw with there horseradish based sauce and it was great. My friend also had the garlicky  oyster dish and he loved it. We had the fried and blackened gator bites and wow amazing. My friends had the po boys and I had the taste of New Orleans and I must say it was a spiritual revelation for me. It was just ridiculously good.,5,2016-05-07
40,"Food was delicious.  Had the taste of New Orleans - everything came out fast and was on-point.  Atmosphere was casual, jazzy/big band music, and friendly staff.",5,2017-01-14
41,Marvelous meal.  Redfish special was devine... crab cakes.. delish... bread pudding... yum yum yummy.  staff very helpful and very attentive to our needs.  We will probably go back before we go home...Everything everything great.,5,2017-05-26
42,"Good food and great service. The food was good. We had gator bites as an appetizer and my husband and I had the seafood platter, which is a mix of catfish, gator, oysters, hush puppies, fries. It's a wonderful platter of crispy, fried deliciousness. Very pleased.",4,2015-07-16
43,"This was the last meal of our weekend in New Orleans, and it was awesome!

We had the food delivered, and when it arrived, it was still hot and not dried out, so yay for the driver.

We ordered the gumbo - OMG, perfection; shrimp po-boy (tender and fresh shrimp, perfectly battered and lightly seasoned/not drowning out the natural flavor of the shrimp).  The barbecued shrimp are also awesome...

Everything was just perfect.  If it was that perfect on delivery, I can only imagine how great it is to dine in.

If you're in N'awlins, you won't go wrong with Oceana Grill.",5,2018-02-24
44,I loved this place! We came late on a Thursday night and there was so wait. Our waiter Shahan was extremely pleasant and patient with us. Everyone there the bus boy the hostess and other waiters were extremely polite and friendly. The food portions are large and worth it. The food was cooked fresh and quickly. I had the seafood platter and actually took half home. This is def a place to eat when in NOLA for real Louisiana taste.,5,2018-04-27
45,"Loved our meal last night.  Great flavor, great service. 

We started with the chargrilled and Rockefeller oysters.  Both perfectly done.  We also had the crab cakes.  A generous portion of two, that fed four. 

The table had the shrimp creole, the red fish, the catfish special and the red beans and rice. 

Everyone was super satisfied with their choices. 

We finished up with coffee and the creme brûlée and bananas fosters cake. 

Everything was very well done. 

We'll definitely come back.",5,2015-05-12
46,"The food here was delicious! Please try the blackened catfish and crawfish. Next time I come I will definitely try the seafood platter, I'm sure it's great!",5,2016-05-19
47,"Came here on a recommendation from a bartender at a place on Bourbon. Was greeted pleasantly, sat promptly. Kevin C, our server, was fantastic. Incredibly knowledgable and personable, he made our dining experience great. He patiently waited as we mulled over the menu, offered recommendations and when I asked him what the best thing was on the menu without shrimp (allergy) he gave me a recommendation and offered to have the crawfish sautéed instead of fried in the same oil that the shrimp is. That is going above and beyond! The food was stellar, the service was great, too, and the hurricane was deliciously strong after a long day of meetings. I'll be back when I am back in NOLA in a month for our annual convention! Thanks Kevin for making our night memorable!",5,2016-02-24
48,"This was the first restaurant my mom and I went to in New Orleans. We split crab cakes and a salad. Both were delicious. The line can get pretty long in the evening, but worth the wait.",5,2018-07-17
49,"This is the BEST GUMBO in New Orlean. MUST HAVE. No doubt ab the chef, environment, friendly staffs... everything is excellent... ... the spot is so good inside Bourbon street (PUB street)",5,2018-01-09
50,3.5 STARS. Good food and service. The oysters were decadently presented and prepared. The gumbo was tasty and certainly worth ordering. The coffee was great! Service was pleasant. Value for the money: Expen$$ive.,3,2013-01-02
51,"This was the only place open late on Tuesday night when we were visiting New Orleans. It wasn't very good, but the food wasn't awful either. The food is also not very fresh. It tastes frozen. I thought this place was a chain restaurant like Chili's. I asked the waiter and he said this is the one and only.

I can't remember exactly what drink we got, but it was very watered down. There was basically no alcohol in it. The barbecue shrimp was pretty good. It reminded me of an Asian dish my mom makes all the time. The shrimp was huge too. I had a Cajun Jambalaya pasta. It was very good, but I feel like there was a lot of dairy product mixed in. The alligator sausage was my favorite part. :)  My brother-in-law had the redfish. It was tasty, but rubbery. I assume it is because it might have been frozen. 

The service was great. Our waiter was very funny and helpful. The outdoor seating was beautiful. I wish we were sat out there. Overall, if you are up for a late night dinner and every where else is closed or has no more room.",3,2012-05-29
52,"My friends and I stopped here for dinner before going out for the night. I cannot stop RAVING about this place! I have never met such a friendly, attentive, and welcoming staff. The food was stellar and the service was even better. It was the perfect place to get a little taste of the New Orleans culture! I am so glad we ate here!",5,2017-10-24
53,"My family and I visited this place for dinner on a Monday evening. We had 6:30pm reservations. We were very surprise to see a line out the door when we arrived. I ordered the shrimp creole which was lukewarm and just ""okay"". My husband and son ordered the shrimp platter which looked, smelled and tasted amazing. The hush puppies with the shrimp platter were so so good with a spicy kick!!!! My daughter ordered shrimp Alfredo which she says she enjoyed. The icing on the cake was the bread pudding dessert. OMG, please do your sweet taste buds a favor and order this fantastic treat! What a way to end our BIG EASY meal in NOLA.",4,2018-04-04
54,Decent étouffée and Poboy but kinda run of the mill for New Orleans.,3,2015-10-08
55,"Got the taste of New Orleans and there was nothing on there worth ordering again. Friend got a seafood platter and he didn't care for it. Pretty pricey, surprised there are so many good reviews but have good for them.",2,2018-04-04
56,"Came here for a late dinner on our first night in New Orleans. We had just arrived and needed somewhere to get dinner. This place, located just across from our hotel was the perfect introduction to NOLA. We got the gator tail bites (highly recommend) and a rack of ribs. Food was good, service was good- a solid experience!",4,2015-06-21
57,George and I each had the seafood gumbo and it was truly amazing.  We could have just stayed with bowls of that. We then had shrimp and oyster po boys that were amazing.  We will be back before end of this trip!,4,2015-10-17
58,"Yummy!!

This place was a good idea for our party of 8!

We had a little of everything but our favorites were the Duck Dish they had, their Red Beans and Rice and the BBQ Shrimp. 

The waitress we had was really short with us and was too intent on spitting out all of the information she had to tell us and would reprimand us by staring us down if she was talking and we were too...a little weird but not mean :)

I would go back for sure!",4,2010-01-09
59,"Visiting NOLA this week while on business and I was looking for a place for all of us to dine last night. I had heard from several others in our hotel lobby that Oceana Grill (739 Conti Street) was a good place to experience authentic New Orleans cuisine. Plus, it was only a few minutes from our hotel and figured that would be a nice way to spend the evening.

We were impressed with everything here. I don't know a thing about Cajun food and didn't know what to expect, but it was really very good. Everyone recommended the jambalaya (not a surprise since we all heard this is THE dish get in New Orleans) and I can see why. It was great. Nicely spiced but not too over the top and filled with shrimp and Andouille sausage, which I'd never had before but really liked. In fact, I'm going to find a meat market on Bourbon Street and take several pounds with me back to Minnesota. I also had a delicious crab cake for an appetizer. It was nicely seasoned and fried just right, not too oily or over-breaded. You could taste the crab meat first and foremost.

The place was busy, but the staff was accommodating. Our waitress and hostess both were very friendly and we had the owner drop by our table and ask us if we were enjoying our meals. Everyone was very friendly and all of this, along with the good food, will bring me back next time I'm in Louisiana. 

The prices are not bad at all and are right on the mark with all the other establishments that we have frequented in New Orleans this week. We were so happy with our visit that we might just stop here for breakfast in the morning before heading back to Minneapolis tomorrow afternoon. 

I really liked Oceana and would definitely return here! Thanks for making our trip to NOLA a memorable one!",4,2014-11-12
60,"Good place to come to with family. Although the design of the place didn't seem to smart. Was sitting at a table with my family with a view of the stairs and I saw a waiter trip going up the stairs carrying a bucket of dishes. Luckily he wasn't carrying people's food! Great service though, and definitely recommend people trying this place at least once on their visit to NOLA.",5,2016-06-23
61,What can i say...RAMSEY. This manager basically ruined the whole experience. From the stand point of another manager in the industry. Shame on you RAMSEY. It was uncalled for. You are rude. You need to rethink you customer service tactics and even reevaluate if you really should be in this industry. I made sure to over tip Allison the bartender to make up what you lacked in professionalism. Just know if you come to this place and order a steak and ask for medium and send it back 3 times. RAMSEY isnt going to ask you if you would like something else instead. Hes going to tell you that you have to pay for it NO MATTER WHAT. He is also going to just throw your already sliced open steak back on the grill. If you know anything about steak this is A EPIC NO NO. Thanks RAMSEY for ruining my meal. Thanks for ruining my boyfriends meal. Thanks for making your employees lose money for your lack of very basic customer skills. Please NEVER apply for another managment position. The only thing you managed to due was completely turn me off to your resteraunt. Please never treat another paying customer like this again. Being a bully isnt cool.,2,2017-01-02
62,"We wanted to end our trip in NOLA with Gumbo, and Yelp had a 10% off check-in deal, and we were 10 steps away from it, so why not? They boast to have the ""world's best gumbo"", and it's pretty good! The rice and bread served with the gumbo left some to be desired though. Oysters were fresh and delicious, not much of a ""fishy"" taste.",4,2015-01-04
63,"This is one of my favourite restaurants in the French Quarter.  The food is excellent, and the prices are considerably cheaper than other restaurants in the area.   A dozen oysters is $12 here as compared to $15.50 at Acme.  BBQ shrimp and the duck was excellent. My wife had the pecan crusted drum, and it was fabulous.   Portions are large as well.  We come here every time we visit New Orleans.",5,2017-04-30
64,"We loved all the food that we ordered. Appetizers, entrees, and desserts! Service could have been much better.",4,2016-08-04
65,"Great and convenient place right across from my hotel. The staff are friendly and great to talk with,  the food is soo gooooooodddddddddd lol. They serve breakfast, lunch and dinner and there open pretty late so whenever your hungry come here for some good food drinks and all the friendly staff, from behind the bar to the servers and greeters.",5,2015-03-04
66,Great French toast and crab cakes! And the Maw Maw's breakfast is delicious! And don't forget to get a Hurricane.,5,2016-02-12
67,"Everything Errol recommend was the bomb dot com. Thank you, Errol for a great experience.",5,2014-09-25
68,"Excellent food. Excellent service. Friendly staff. A totally outstanding experience. The catfish lafouche was perfect and my wife had delicious jazzy crab cakes. Totally worth the short wait.

I saw many families here and everyone was having a great time. I would absolutely come back again.",5,2014-06-12
69,"I wish I could separate the stars! Let's just say FIVE stars for our server MICHON. She was outstanding and attentive. Our drinks never were empty never had to ask. She knew the menu and recommended a few things. The food well fair. Nothing I'd slap my mama for. My daughter just wanted a grilled piece of tuna. Well it was rare which is the way we all like it but it have no flavor except one. Fishy! So it wasn't as fresh as we had hoped. I had BBQ shrimp and it was my fourth restaurant to try it and this one came in third out of the four. Not spicy enough and the sauce was odd to say the least. Wasn't BBQ looked like a rue dark. The bread was pretty good. Also had shrimp fettuccini. Again nothing that said wow! Hubby had a good shrimp poboy. So at least he was happy. 
THE BEST THING WE ORDERED WAS THE GATOR BITES. TASTED LIKE CHICKEN. LOL. THEY WERE PRETTY GOOD. Whether they were real gator who knows. They were good. Lol! 

So food a 2.5 star but service was definite 5 star! Atmosphere was pretty neat. But well it was tourist food. So there ya go.",3,2016-05-31
70,"I visited Oceana back in January during the polar vortex (not an ideal time to visit...anywhere), but I have to admit we ended up here twice in one day. First for the barbecue shrimp, gumbo, and a delicious ragin' cajun bloody mary and then late that night for some jambalya and oysters, Oceana style. All the food was super tasty except for the oysters which were doused in some kind of overloaded sauce that was just too much to handle. The restaurant seems like a tourist trap, but for a taste of that famous New Orleans cuisine it's the place to go. We also had a GREAT server named Tiffany. 

Definitely worth a visit!",4,2014-04-01
71,I love this place! They have some of the best fried oysters in the city. The service is usually pretty good as well. The only thing that I don't like about this place is that they don't have happy hour but its definitely on my list of must try places for visitors.,4,2018-02-24
72,"First of all, excellent delivery service for a Saturday night.  One of the only places in Louisiana with a decent amount of vegetarian friendly meals, and that's me being nice.. there were like, 3 options.  
By the way, bananas foster is not supposed to be an ice cream cake. Might want to change the title/ description if you're going to have it on your menu. 
It was alright, but I'm going to continue to search for better vegetarian food in Louisiana.",3,2017-01-15
73,"I can see why most people suggest going here if you're in the area. What a great experience. 

When you arrive at night you'll most likely see a line with at least 20 people waiting. Don't let this discourage you, it's worth it!  We waited in line for  about 20 minutes and once we were inside service was quick. We ordered drinks and food. Drinks came and not even 5 minutes later we were diving into our entrees. 

The crab cakes were incredible. The sauce just added to the seafood goodness. I got the corn casserole. I wasn't expected the burst of flavors and seasoning. It tasted amazing!  Everyone in my party loved their dishes. I have nothing bad to say about this place whatsoever.",5,2018-05-08
74,"If you are NOT sure what you want to eat, ASK! The waiter reccomended the BEST food.

Crab Cakes with Potato and Zuccini----YUMMY
MY Husband ate the Ribs---OMG!

Service was wonderful.

We split an awsome Cheesecake!",5,2010-01-10
75,"Our first night we stopped here and had the gumbo and blackened shrimp fettuccine. We were floored by the food, especially the shrimp fettuccine! The sauce was cheesy with just enough spice! We decided to go back for dinner again the next night. We had the crab cakes and again the blackened shrimp fettuccine! The staff was awesome, especially Fatima. She was friendly and offered suggestions. I'd definitely be back for crab cakes and shrimp fettuccine again!",5,2016-10-01
76,"For the price, not worth it. 

We went in a big group and were seated in the upstairs area, which has a nice ambiance on sunny days. For appetizers we got the oysters, which were quite good. The rest of the meal was average at best. Except for the crabcakes and blackened fish, we didn't really like any of the entrees. My etouffee didn't have any fish in it at all! Never seen a place where the fish in a ""crawfish etouffee"" was a $5 optional extra, and the gravy and rice (which they gave me) cost $17. And our desserts seemed to be taken straight out of the fridge - the pecan pie and creme brulee were both served dead cold.

One last thing - 3 people in our group of 12 started feeling queasy in the afternoon/evening after our lunch. My wife had to skip dinner to avoid throwing up. So maybe some of that seafood isn't of the highest quality.",2,2012-01-03
77,"Service was real good. Thank you Lloyd. 
Had the gumbo which was ehhh ok didn't have anything but rice in it 

Alligator bites were delicious though and highly recommend going with the blackened.",4,2014-09-25
78,Things don't get no better than great food at a great price!!! I love the Seafood Platter & Oysters! We actually going today!,5,2015-06-08
79,Loved the grilled oysters. Alligator bites were also quite tasty. Side Caesar salad was subpar. Errol was our server. He was great. Loved his voice and friendly demeanor!,4,2016-04-11
80,"It was great, I guess that's why there is a line outside to get in but it goesf fast. The food is good, service and desert! Would recommend.",5,2018-06-08
81,"This place has a fun ambience, good vibe for the most part and serves dinner late.. But the food was mediocre and the drinks were watered down to say the least! It seemed like a tourist trap.. On the pro side the servers were friendly! But the food came so quick leaving us wondering how long ago it was cooked..",2,2016-05-31
82,"We didn't know where to go for good seafood and we were pointed here -- Thank You Bourbon Orleans Hotel Staff!! We were only in NOLA for a quick few days and only two of them included dinnertime -- both of those dinners were spent eating Oceana food!  Not only was the food absolutely scrumptious the other thing that particularly impressed me was a gentleman (possibly the owner??) actually recognized us from the evening prior, came over and made sure everything was okay and even offered to give us a couple of drinks on the house!  That was particularly impressive that he cared about these obvious tourists and the quality of our meals and dining experience.  Bravo for him!  We plan on returning to NOLA and Oceana will definitely be our go-to dinner restaurant!",5,2017-08-28
83,"I wish I would have taken a picture of our meal. I only had appetizers: a crab cake with crawfish gravy and red beans and rice. After the appetizer i knew I could not eat another bite (although I wanted to). The servings are huge!!! My husband proceeded to eat blackened smothered red fish with greens. He enjoyed the meal but he was stuffed. 

The place looks small from the outside but it is extremely large with multiple levels and a courtyard. Really great casual place to grab dinner in the quarter right off of bourbon street.",4,2018-04-28
84,"All other food is ruined for me because this was so good. We got the loaded fries, the shrimp gumbo and the alligator po-boy. The po-boy was a little dry but the condiments and the sandwich fixings kind of made up for it. The fries are would really impress me. I cannot stress enough how great these fries are. They are drenched in a cream sauce that I would probably eat off the floor. The fries had a great crisp and salty flavor, they're what every fry wishes they could be.",5,2018-06-26
85,This place was so good! We are in from out of town and our waitress Jordan was wonderful. We had the fried alligator bites (personally liked the fried over the grilled) and I had the bbq shrimp. Everything was awesome and the drinks were on point as well. Thanks again to Jordan for a great evening. This is a must visit if you are in town!!! Gave it four instead of five because our table was kinda sticky...,4,2015-12-20
86,Food was great and the wait staff was awesome. Waiter Chris was very helpful in helping to decide what to eat. If there wasn't so much to see and try out would eat here again this trip. Will return when back in New Orleans,5,2016-09-30
