review_id,review,local_guide_reviews,rating_score,service,meal_type,price_per_person_category,food_score,service_score,atmosphere_score,recommendations_list,date,avg_price_per_person,cleaned_review,vader_sentiment,sentiment_label,pca_cluster,umap_cluster
100,Great spot for families. Kids loved the pizza and we loved the calm atmosphere.,16,5,,Lunch,,5,5,5,[''],2023-01-30,,great spot for families kids loved the pizza and we loved the,0.2,positive,1,2
101,Would not recommend. The burger was overcooked and the fries were soggy.,5,1,,Brunch,,1,1,1,[''],2024-05-29,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,1,0
102,Excellent service and tasty dishes. Will be back soon.,,5,,,,5,5,4,[''],2024-07-06,,excellent service and tasty dishes will be back soon,0.2,positive,1,2
103,Great food and friendly staff. Will definitely come back!,,4,,,,4,4,4,[''],2024-09-07,,great food and friendly staff will definitely come back!,0.2,positive,0,
104,Standard cafe. Good for a quick bite.,,3,,Breakfast,,3,3,2,[''],2023-06-22,,standard cafe good for a quick bite,0.0,neutral,0,
105,Average experience. The menu is limited but prices are fair.,,3,,Dinner,,3,3,2,[''],2024-05-16,,average experience the menu is limited but prices are fair,0.0,neutral,0,
106,Really enjoyed our dinner. The pasta was delicious and the waiter was very helpful.,,4,,Brunch,,4,4,4,[''],2023-02-02,,really enjoyed our dinner the pasta was delicious and the waiter was,0.2,positive,,
107,Really enjoyed our dinner. The pasta was delicious and the waiter was very helpful.,,4,,Dinner,,4,4,3,[''],2023-03-29,,really enjoyed our dinner the pasta was delicious and the waiter was,0.2,positive,2,0
108,Disappointed. The food was cold and the wait was too long.,,2,,Lunch,,2,1,2,[''],2024-07-20,,disappointed the food was cold and the wait was too long,-0.2,negative,2,1
109,Great spot for families. Kids loved the pizza and we loved the calm atmosphere.,21,5,,Dinner,,4,5,4,[''],2023-01-06,,great spot for families kids loved the pizza and we loved the,0.2,positive,1,1
110,Poor experience. Staff seemed rushed and forgot our drinks.,,1,,,,1,1,1,[''],2023-09-25,,poor experience staff seemed rushed and forgot our drinks,-0.2,negative,,1
111,Excellent service and tasty dishes. Will be back soon.,,5,,Dinner,,4,5,5,[''],2024-02-21,,excellent service and tasty dishes will be back soon,0.2,positive,0,0
112,Had a wonderful time. Food was hot and the service was attentive.,11,5,,,,4,5,5,[''],2024-01-13,,had a wonderful time food was hot and the service was attentive,0.2,positive,1,1
113,Great food and friendly staff. Will definitely come back!,,4,,Dinner,,3,3,4,[''],2024-03-03,,great food and friendly staff will definitely come back!,0.2,positive,0,0
114,Really enjoyed our dinner. The pasta was delicious and the waiter was very helpful.,24,5,,Brunch,,5,5,5,[''],2024-07-25,,really enjoyed our dinner the pasta was delicious and the waiter was,0.2,positive,0,
115,Excellent service and tasty dishes. Will be back soon.,,4,,,,3,4,3,[''],2024-11-06,,excellent service and tasty dishes will be back soon,0.2,positive,0,
116,It was fine. Maybe we ordered the wrong thing.,,3,,,,3,3,2,[''],2023-03-09,,it was fine maybe we ordered the wrong thing,0.0,neutral,0,0
117,Excellent service and tasty dishes. Will be back soon.,,4,,Dinner,,4,3,4,[''],2023-04-24,,excellent service and tasty dishes will be back soon,0.2,positive,,
118,Food was okay. Nothing special but not bad either.,,3,,,,3,2,3,[''],2023-10-29,,food was okay nothing special but not bad either,0.0,neutral,,2
119,Standard cafe. Good for a quick bite.,,3,,,,3,2,3,[''],2024-08-15,,standard cafe good for a quick bite,0.0,neutral,2,1
