review_id,review,local_guide_reviews,rating_score,service,meal_type,price_per_person_category,food_score,service_score,atmosphere_score,recommendations_list,date,avg_price_per_person,cleaned_review,vader_sentiment,sentiment_label,pca_cluster,umap_cluster,month,year,total_score,sample_type
19,Perfect for a quick lunch. The salad was fresh and the portion was generous.,39,4,,,,4,3,4,[''],2023-01-18,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,1,2,2023-01,2023,3.6666666666666665,best_reviews_sample
20,Great food and friendly staff. Will definitely come back!,,4,,Take Away,,4,4,4,[''],2023-12-17,,great food and friendly staff will definitely come back!,0.2,positive,2,,2023-12,2023,4.0,best_reviews_sample
23,Great spot for families. Kids loved the pizza and we loved the calm atmosphere.,,5,,Take Away,,5,5,5,[''],2024-07-26,,great spot for families kids loved the pizza and we loved the,0.2,positive,0,1,2024-07,2024,5.0,best_reviews_sample
25,Great spot for families. Kids loved the pizza and we loved the calm atmosphere.,,5,,Breakfast,,5,4,5,[''],2023-08-23,,great spot for families kids loved the pizza and we loved the,0.2,positive,2,0,2023-08,2023,4.666666666666667,best_reviews_sample
29,Perfect for a quick lunch. The salad was fresh and the portion was generous.,,5,,Take Away,,5,5,4,[''],2024-04-15,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,0,2,2024-04,2024,4.666666666666667,best_reviews_sample
32,Had a wonderful time. Food was hot and the service was attentive.,,5,,Breakfast,,5,5,5,[''],2023-03-02,,had a wonderful time food was hot and the service was attentive,0.2,positive,2,1,2023-03,2023,5.0,best_reviews_sample
36,Best brunch in town. Service was quick and the coffee was excellent.,,4,,Dinner,,4,4,4,[''],2023-02-10,,best brunch in town service was quick and the coffee was excellent,0.2,positive,2,0,2023-02,2023,4.0,best_reviews_sample
38,Perfect for a quick lunch. The salad was fresh and the portion was generous.,,4,,Brunch,,4,4,4,[''],2024-03-06,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,2,0,2024-03,2024,4.0,best_reviews_sample
4,Service was slow and the order came wrong. Had to send it back.,,2,,Take Away,,2,2,1,[''],2023-10-30,,service was slow and the order came wrong had to send it,-0.2,negative,2,1,2023-10,2023,1.6666666666666667,worst_reviews_sample
5,Service was slow and the order came wrong. Had to send it back.,,1,,Brunch,,1,1,1,[''],2023-01-22,,service was slow and the order came wrong had to send it,-0.2,negative,1,,2023-01,2023,1.0,worst_reviews_sample
6,Disappointed. The food was cold and the wait was too long.,,1,,Take Away,,1,1,1,[''],2023-09-25,,disappointed the food was cold and the wait was too long,-0.2,negative,0,2,2023-09,2023,1.0,worst_reviews_sample
9,Would not recommend. The burger was overcooked and the fries were soggy.,,2,,Brunch,,1,2,1,[''],2023-07-19,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,0,1,2023-07,2023,1.3333333333333333,worst_reviews_sample
10,Would not recommend. The burger was overcooked and the fries were soggy.,,2,,Dinner,,2,2,2,[''],2024-01-30,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,1,,2024-01,2024,2.0,worst_reviews_sample
11,Disappointed. The food was cold and the wait was too long.,30,2,,Dinner,,2,2,2,[''],2024-01-30,,disappointed the food was cold and the wait was too long,-0.2,negative,,2,2024-01,2024,2.0,worst_reviews_sample
13,Would not recommend. The burger was overcooked and the fries were soggy.,,2,,,,2,2,1,[''],2023-04-01,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,0,0,2023-04,2023,1.6666666666666667,worst_reviews_sample
21,Disappointed. The food was cold and the wait was too long.,45,2,,Lunch,,2,2,2,[''],2023-10-17,,disappointed the food was cold and the wait was too long,-0.2,negative,,1,2023-10,2023,2.0,worst_reviews_sample
22,Would not recommend. The burger was overcooked and the fries were soggy.,,2,,Brunch,,1,2,1,[''],2023-05-14,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,,1,2023-05,2023,1.3333333333333333,worst_reviews_sample
28,Not worth the price. Portions were small and the place was noisy.,37,1,,,,1,1,1,[''],2023-11-10,,not worth the price portions were small and the place was noisy,-0.2,negative,0,2,2023-11,2023,1.0,worst_reviews_sample
33,Poor experience. Staff seemed rushed and forgot our drinks.,,1,,Take Away,,1,1,1,[''],2023-11-03,,poor experience staff seemed rushed and forgot our drinks,-0.2,negative,,0,2023-11,2023,1.0,worst_reviews_sample
34,Not worth the price. Portions were small and the place was noisy.,,1,,,,1,1,1,[''],2023-01-08,,not worth the price portions were small and the place was noisy,-0.2,negative,0,,2023-01,2023,1.0,worst_reviews_sample
39,Would not recommend. The burger was overcooked and the fries were soggy.,17,1,,Take Away,,1,1,1,[''],2023-08-06,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,0,,2023-08,2023,1.0,worst_reviews_sample
40,Not worth the price. Portions were small and the place was noisy.,,2,,Lunch,,1,2,2,[''],2024-08-24,,not worth the price portions were small and the place was noisy,-0.2,negative,1,1,2024-08,2024,1.6666666666666667,worst_reviews_sample
42,Service was slow and the order came wrong. Had to send it back.,,2,,Take Away,,2,1,2,[''],2023-05-31,,service was slow and the order came wrong had to send it,-0.2,negative,,,2023-05,2023,1.6666666666666667,worst_reviews_sample
1,Standard cafe. Good for a quick bite.,,3,,Lunch,,2,3,3,[''],2024-01-22,,standard cafe good for a quick bite,0.0,neutral,,0,2024-01,2024,2.6666666666666665,low_score_reviews
10,Would not recommend. The burger was overcooked and the fries were soggy.,,2,,Dinner,,2,2,2,[''],2024-01-30,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,1,,2024-01,2024,2.0,low_score_reviews
11,Disappointed. The food was cold and the wait was too long.,30,2,,Dinner,,2,2,2,[''],2024-01-30,,disappointed the food was cold and the wait was too long,-0.2,negative,,2,2024-01,2024,2.0,low_score_reviews
90,Standard cafe. Good for a quick bite.,33,3,,Lunch,,2,3,3,[''],2024-01-12,,standard cafe good for a quick bite,0.0,neutral,0,,2024-01,2024,2.6666666666666665,low_score_reviews
7,Food was okay. Nothing special but not bad either.,19,3,,Breakfast,,3,3,3,[''],2024-03-11,,food was okay nothing special but not bad either,0.0,neutral,0,,2024-03,2024,3.0,low_score_reviews
59,It was fine. Maybe we ordered the wrong thing.,,3,,Take Away,,3,3,3,[''],2024-03-05,,it was fine maybe we ordered the wrong thing,0.0,neutral,2,,2024-03,2024,3.0,low_score_reviews
92,Poor experience. Staff seemed rushed and forgot our drinks.,37,2,,Lunch,,2,2,2,[''],2024-03-30,,poor experience staff seemed rushed and forgot our drinks,-0.2,negative,0,,2024-03,2024,2.0,low_score_reviews
